hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
35,17:17:04,hit_035_20260730_171704.csv,512,DEFECT,HIGH,0,24,117,226,500000,4689922,3823982,-4689922,-398584.1,,800,-574,坏棒 总长1000 任意重度敲 800
36,17:17:04,hit_036_20260730_171704.csv,512,DEFECT,HIGH,0,22,117,207,500000,4398783,3990926,-4398783,-193668.0,,800,-593,坏棒 总长1000 任意重度敲 800
37,17:17:04,hit_037_20260730_171704.csv,512,DEFECT,HIGH,0,25,118,233,500000,4799016,3772979,-4799016,-568740.1,,800,-567,坏棒 总长1000 任意重度敲 800
38,17:17:05,hit_038_20260730_171705.csv,512,DEFECT,HIGH,0,24,118,224,500000,4688398,4155849,-4688398,-147728.7,,800,-576,坏棒 总长1000 任意重度敲 800
39,17:17:05,hit_039_20260730_171705.csv,512,DEFECT,HIGH,0,25,118,233,500000,4882093,4096133,-4882093,-234466.8,,800,-567,坏棒 总长1000 任意重度敲 800
40,17:17:05,hit_040_20260730_171705.csv,512,DEFECT,HIGH,0,23,118,214,500000,4551134,3892807,-4551134,-244925.6,,800,-586,坏棒 总长1000 任意重度敲 800
41,17:17:05,hit_041_20260730_171705.csv,512,DEFECT,HIGH,0,23,118,214,500000,4614918,4021739,-4614918,-217178.1,,800,-586,坏棒 总长1000 任意重度敲 800
42,17:17:06,hit_042_20260730_171706.csv,512,DEFECT,HIGH,0,23,116,219,500000,4777799,3865371,-4777799,-495390.5,,800,-581,坏棒 总长1000 任意重度敲 800
43,17:17:06,hit_043_20260730_171706.csv,512,DEFECT,HIGH,0,26,119,240,500000,4651429,4094719,-4651429,-276599.0,,800,-560,坏棒 总长1000 任意重度敲 800
44,17:17:06,hit_044_20260730_171706.csv,512,DEFECT,HIGH,0,25,117,235,500000,4427916,4142382,-4427916,-206139.6,,800,-565,坏棒 总长1000 任意重度敲 800
45,17:17:06,hit_045_20260730_171706.csv,512,DEFECT,HIGH,0,25,118,233,500000,4626803,4132567,-4626803,-267857.5,,800,-567,坏棒 总长1000 任意重度敲 800
46,17:17:07,hit_046_20260730_171707.csv,512,NORMAL,HIGH,0,0,117,0,500000,4359736,4359736,-4184112,14253.5,,800,,坏棒 总长1000 任意重度敲 800
47,17:17:07,hit_047_20260730_171707.csv,512,DEFECT,HIGH,0,23,119,212,500000,4594819,4229013,-4594819,-177293.7,,800,-588,坏棒 总长1000 任意重度敲 800
48,17:17:07,hit_048_20260730_171707.csv,512,DEFECT,HIGH,0,23,119,212,500000,4650160,4387151,-4650160,-269136.9,,800,-588,坏棒 总长1000 任意重度敲 800
49,17:17:08,hit_049_20260730_171708.csv,512,DEFECT,HIGH,0,22,120,201,500000,4730154,4730154,-4517405,62.4,,800,-599,坏棒 总长1000 任意重度敲 800
50,17:17:08,hit_050_20260730_171708.csv,512,DEFECT,HIGH,0,29,120,266,500000,4893955,4497847,-4893955,-244182.7,,800,-534,坏棒 总长1000 任意重度敲 800
51,17:17:08,hit_051_20260730_171708.csv,512,DEFECT,HIGH,0,23,121,209,500000,4745544,4745544,-4700140,-135716.4,,800,-591,坏棒 总长1000 任意重度敲 800
52,17:17:08,hit_052_20260730_171708.csv,512,DEFECT,HIGH,0,21,118,196,500000,4821193,4821193,-4394780,-35087.5,,800,-604,坏棒 总长1000 任意重度敲 800
53,17:17:09,hit_053_20260730_171709.csv,512,DEFECT,HIGH,0,21,118,196,500000,4649828,4649828,-4389592,-14716.2,,800,-604,坏棒 总长1000 任意重度敲 800
54,17:17:09,hit_054_20260730_171709.csv,512,DEFECT,HIGH,0,24,118,224,500000,4729686,4262595,-4729686,-142646.4,,800,-576,坏棒 总长1000 任意重度敲 800
55,17:17:09,hit_055_20260730_171709.csv,512,NORMAL,HIGH,0,0,116,0,500000,4233733,4233733,-4184370,122704.0,,800,,坏棒 总长1000 任意重度敲 800
56,17:17:09,hit_056_20260730_171709.csv,512,DEFECT,HIGH,0,85,115,711,500000,4089076,3916106,-4089076,-88713.4,,800,-89,坏棒 总长1000 任意重度敲 800
57,17:17:10,hit_057_20260730_171710.csv,512,DEFECT,HIGH,0,90,114,766,500000,4982869,4077079,-4982869,-459982.5,,800,-34,坏棒 总长1000 任意重度敲 800
