hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
33,16:02:53,hit_033_20260730_160253.csv,512,DEFECT,HIGH,0,22,119,194,500000,4725417,4539841,-4725417,257880.5,,307,-113,坏帮 总长1002 轻轻敲 塑料头 307
34,16:02:54,hit_034_20260730_160254.csv,512,DEFECT,HIGH,0,97,113,761,500000,5097887,5097887,-4058617,740779.8,,307,454,坏帮 总长1002 轻轻敲 塑料头 307
35,16:02:54,hit_035_20260730_160254.csv,512,DEFECT,HIGH,0,44,116,389,500000,5153343,5153343,-4053434,658823.1,,307,82,坏帮 总长1002 轻轻敲 塑料头 307
36,16:02:54,hit_036_20260730_160254.csv,512,DEFECT,HIGH,0,24,108,247,500000,5177392,5177392,-4055717,760169.2,,307,-60,坏帮 总长1002 轻轻敲 塑料头 307
37,16:02:55,hit_037_20260730_160255.csv,512,DEFECT,HIGH,0,21,117,185,500000,4875873,4875873,-4421980,471965.5,,307,-122,坏帮 总长1002 轻轻敲 塑料头 307
38,16:02:55,hit_038_20260730_160255.csv,512,DEFECT,HIGH,0,21,116,185,500000,5085068,5085068,-4188554,550874.8,,307,-122,坏帮 总长1002 轻轻敲 塑料头 307
39,16:02:55,hit_039_20260730_160255.csv,512,DEFECT,HIGH,0,99,117,778,500000,4901913,4901913,-4368913,556567.6,,307,471,坏帮 总长1002 轻轻敲 塑料头 307
40,16:02:55,hit_040_20260730_160255.csv,512,DEFECT,HIGH,0,23,108,237,500000,4640213,4640213,-4445740,248894.7,,307,-70,坏帮 总长1002 轻轻敲 塑料头 307
41,16:02:56,hit_041_20260730_160256.csv,512,DEFECT,HIGH,0,27,111,270,500000,5330129,4297219,-5330129,26040.6,,307,-37,坏帮 总长1002 轻轻敲 塑料头 307
42,16:02:56,hit_042_20260730_160256.csv,512,DEFECT,HIGH,0,23,110,232,500000,4692248,4273111,-4692248,57342.2,,307,-75,坏帮 总长1002 轻轻敲 塑料头 307
43,16:02:56,hit_043_20260730_160256.csv,512,DEFECT,HIGH,0,23,109,234,500000,4601679,4601679,-4593666,327696.4,,307,-73,坏帮 总长1002 轻轻敲 塑料头 307
44,16:02:57,hit_044_20260730_160257.csv,512,DEFECT,HIGH,0,26,108,268,500000,5144861,4060300,-5144861,-196680.4,,307,-39,坏帮 总长1002 轻轻敲 塑料头 307
45,16:02:57,hit_045_20260730_160257.csv,512,DEFECT,HIGH,0,27,110,272,500000,5450662,4303338,-5450662,12822.0,,307,-35,坏帮 总长1002 轻轻敲 塑料头 307
46,16:02:57,hit_046_20260730_160257.csv,512,DEFECT,HIGH,0,25,120,221,500000,5046447,4282968,-5046447,-22900.9,,307,-86,坏帮 总长1002 轻轻敲 塑料头 307
47,16:02:57,hit_047_20260730_160257.csv,512,DEFECT,HIGH,0,26,109,265,500000,5138214,4069946,-5138214,-157423.1,,307,-42,坏帮 总长1002 轻轻敲 塑料头 307
48,16:02:58,hit_048_20260730_160258.csv,512,DEFECT,HIGH,0,23,119,203,500000,4679230,4679230,-4647846,315605.8,,307,-104,坏帮 总长1002 轻轻敲 塑料头 307
49,16:02:58,hit_049_20260730_160258.csv,512,DEFECT,HIGH,0,27,108,278,500000,4907907,4907907,-3939259,642336.3,,307,-29,坏帮 总长1002 轻轻敲 塑料头 307
50,16:02:58,hit_050_20260730_160258.csv,512,DEFECT,HIGH,0,25,108,257,500000,5259817,5259817,-4142520,914845.0,,307,-50,坏帮 总长1002 轻轻敲 塑料头 307
