hit,time,file,points,state,conf,impact,impact_recalc,impact_match,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,10:58:01,hit_001_20260801_105801.csv,512,DEFECT,HIGH,74,73,0,0,0,616,0,6300786,6300786,-2606372,2123823.3,,600,16,坏棒 总长1000m 铁头 600
2,10:58:02,hit_002_20260801_105802.csv,512,DEFECT,HIGH,80,79,0,0,0,587,0,5616030,5616030,-3619447,1068176.9,,600,-13,坏棒 总长1000m 铁头 600
3,10:58:02,hit_003_20260801_105802.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,5129898,5129898,-3828281,839790.1,,600,-13,坏棒 总长1000m 铁头 600
4,10:58:02,hit_004_20260801_105802.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,4603439,4603439,-4011458,575397.9,,600,-13,坏棒 总长1000m 铁头 600
5,10:58:02,hit_005_20260801_105802.csv,512,DEFECT,HIGH,82,81,0,0,0,587,0,5007268,5007268,-3897106,782878.5,,600,-13,坏棒 总长1000m 铁头 600
6,10:58:03,hit_006_20260801_105803.csv,512,DEFECT,HIGH,82,81,0,0,0,572,0,4092683,3918156,-4092683,366257.2,,600,-28,坏棒 总长1000m 铁头 600
7,10:58:03,hit_007_20260801_105803.csv,512,DEFECT,HIGH,82,81,0,0,0,572,0,4052368,4052368,-4050622,446047.2,,600,-28,坏棒 总长1000m 铁头 600
8,10:58:03,hit_008_20260801_105803.csv,512,DEFECT,HIGH,82,81,0,0,0,587,0,5160124,5160124,-4094589,648399.1,,600,-13,坏棒 总长1000m 铁头 600
9,10:58:04,hit_009_20260801_105804.csv,512,DEFECT,HIGH,80,79,0,0,0,587,0,5353438,5353438,-3835281,773140.4,,600,-13,坏棒 总长1000m 铁头 600
10,10:58:04,hit_010_20260801_105804.csv,512,DEFECT,HIGH,80,79,0,0,0,587,0,5009558,5009558,-3703307,824161.7,,600,-13,坏棒 总长1000m 铁头 600
