hit,time,file,points,state,conf,impact,impact_recalc,impact_match,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
35,11:00:23,hit_035_20260801_110023.csv,512,NORMAL,LOW,99,99,1,0,0,0,0,6619870,5142481,-6619870,-611377.6,,400,,坏棒 总长1000m 铁头 400
36,11:00:24,hit_036_20260801_110024.csv,512,DEFECT,LOW,88,87,0,0,0,352,0,5550448,5344818,-5550448,9827.0,,400,-48,坏棒 总长1000m 铁头 400
37,11:00:24,hit_037_20260801_110024.csv,512,NORMAL,LOW,88,87,0,0,0,0,0,6309367,6309367,-5274152,-118668.5,,400,,坏棒 总长1000m 铁头 400
38,11:00:24,hit_038_20260801_110024.csv,512,DEFECT,LOW,92,91,0,0,0,352,0,5898978,4908085,-5898978,-258589.4,,400,-48,坏棒 总长1000m 铁头 400
39,11:00:25,hit_039_20260801_110025.csv,512,DEFECT,LOW,97,96,0,0,0,323,0,6809209,4044193,-6809209,-538095.5,,400,-77,坏棒 总长1000m 铁头 400
40,11:00:25,hit_040_20260801_110025.csv,512,DEFECT,HIGH,97,96,0,0,0,279,0,6490183,4746986,-6490183,398061.5,,400,-121,坏棒 总长1000m 铁头 400
41,11:00:25,hit_041_20260801_110025.csv,512,DEFECT,HIGH,82,81,0,0,0,293,0,5481869,5481869,-3966312,846613.9,,400,-107,坏棒 总长1000m 铁头 400
42,11:00:26,hit_042_20260801_110026.csv,512,DEFECT,HIGH,78,77,0,0,0,264,0,6856670,6856670,-4475829,1360677.2,,400,-136,坏棒 总长1000m 铁头 400
43,11:00:26,hit_043_20260801_110026.csv,512,DEFECT,LOW,88,87,0,0,0,337,0,5457343,4642426,-5457343,-286962.1,,400,-63,坏棒 总长1000m 铁头 400
44,11:00:26,hit_044_20260801_110026.csv,512,DEFECT,HIGH,89,88,0,0,0,293,0,5226891,4689826,-5226891,590496.2,,400,-107,坏棒 总长1000m 铁头 400
45,11:00:27,hit_045_20260801_110027.csv,512,DEFECT,HIGH,87,86,0,0,0,323,0,4860080,4307398,-4860080,377248.7,,400,-77,坏棒 总长1000m 铁头 400
46,11:00:27,hit_046_20260801_110027.csv,512,NORMAL,LOW,90,89,0,0,0,0,0,5533653,5533653,-4967820,-183768.1,,400,,坏棒 总长1000m 铁头 400
47,11:00:27,hit_047_20260801_110027.csv,512,DEFECT,LOW,99,99,1,0,0,470,0,6147409,4188256,-6147409,-772116.9,,400,70,坏棒 总长1000m 铁头 400
48,11:00:28,hit_048_20260801_110028.csv,512,DEFECT,HIGH,87,86,0,0,0,279,0,6231563,6231563,-4819187,805003.1,,400,-121,坏棒 总长1000m 铁头 400
49,11:00:28,hit_049_20260801_110028.csv,512,DEFECT,HIGH,85,84,0,0,0,264,0,8131028,8131028,-5906791,968530.1,,400,-136,坏棒 总长1000m 铁头 400
50,11:00:28,hit_050_20260801_110028.csv,512,DEFECT,HIGH,80,79,0,0,0,249,0,8388607,8388607,-5715301,1424440.9,,400,-151,坏棒 总长1000m 铁头 400
51,11:00:28,hit_051_20260801_110028.csv,512,DEFECT,HIGH,84,83,0,0,0,308,0,5111812,5111812,-4414033,341542.5,,400,-92,坏棒 总长1000m 铁头 400
